Scenario,Accuracy,Precision,Recall,F1-Score,AUC
Scenario 0 (Adult Baseline),0.6666666666666666,0.7272727272727273,0.5,0.5925925925925926,0.7647058823529411
Scenario A,0.8787878787878788,0.8,1.0,0.888888888888889,0.9963235294117647
Scenario B,0.6666666666666666,0.5925925925925926,1.0,0.7441860465116279,0.9485294117647058
Scenario C,0.9696969696969697,1.0,0.9375,0.967741935483871,0.9889705882352942
