Scenario,Accuracy,Precision,Recall,F1-Score,AUC
Scenario A,0.6774193548387096,0.5909090909090909,0.9285714285714286,0.7222222222222223,0.9537815126050421
Scenario B,0.6129032258064516,0.5625,0.6428571428571429,0.6000000000000001,0.5420168067226891
Scenario C,0.9354838709677419,1.0,0.8571428571428571,0.923076923076923,0.9705882352941176
Scenario D,0.6774193548387096,1.0,0.2857142857142857,0.4444444444444445,0.6260504201680671
